"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1176","Проверка перехода на главную страницу сервиса при клике на лого ""Самокат"" в шапке","tests","Tue Jun 03 12:43:42 MSK 2025","passed","Tue Jun 03 12:43:43 MSK 2025","TestLogo","test_logo_click","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","1045","Проверка раздела ""Вопросы о важном""","tests","Tue Jun 03 12:44:32 MSK 2025","passed","Tue Jun 03 12:44:33 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","341","Проверка раздела ""Вопросы о важном""","tests","Tue Jun 03 12:44:16 MSK 2025","passed","Tue Jun 03 12:44:16 MSK 2025","TestMainPageFaq","test_main_page","",""
"Сквозное тестирование функциональности оформления заказа из двух точек входа","4163","Проверка позитивного сценария оформления заказа","tests","Tue Jun 03 12:44:57 MSK 2025","passed","Tue Jun 03 12:45:01 MSK 2025","TestOrderPageOrder","test_order_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","1231","Проверка раздела ""Вопросы о важном""","tests","Tue Jun 03 12:44:03 MSK 2025","passed","Tue Jun 03 12:44:04 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","310","Проверка раздела ""Вопросы о важном""","tests","Tue Jun 03 12:44:38 MSK 2025","passed","Tue Jun 03 12:44:39 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","1783","Проверка раздела ""Вопросы о важном""","tests","Tue Jun 03 12:44:26 MSK 2025","passed","Tue Jun 03 12:44:28 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","364","Проверка раздела ""Вопросы о важном""","tests","Tue Jun 03 12:44:22 MSK 2025","passed","Tue Jun 03 12:44:22 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","349","Проверка раздела ""Вопросы о важном""","tests","Tue Jun 03 12:44:10 MSK 2025","passed","Tue Jun 03 12:44:10 MSK 2025","TestMainPageFaq","test_main_page","",""
"Сквозное тестирование функциональности оформления заказа из двух точек входа","3182","Проверка позитивного сценария оформления заказа","tests","Tue Jun 03 12:44:50 MSK 2025","passed","Tue Jun 03 12:44:53 MSK 2025","TestOrderPageOrder","test_order_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","343","Проверка раздела ""Вопросы о важном""","tests","Tue Jun 03 12:44:44 MSK 2025","passed","Tue Jun 03 12:44:45 MSK 2025","TestMainPageFaq","test_main_page","",""
"","11563","Проверка перехода на страницу ""Дзена"" при клике на лого ""Яндекс""","tests","Tue Jun 03 12:43:47 MSK 2025","passed","Tue Jun 03 12:43:59 MSK 2025","TestLogo","test_logo_click","",""
